date,direction,speed
2014-12-01,203,21.0
2014-12-02,267,30.0
2014-12-03,245,20.0
2014-12-04,290,9.0
2014-12-05,308,18.0
2014-12-06,297,14.0
2014-12-07,286,14.0
2014-12-08,285,7.0
2014-12-09,324,13.0
2014-12-10,261,11.0
2014-12-11,242,18.0
2014-12-12,308,15.0
2014-12-13,308,11.0
2014-12-14,294,17.0
2014-12-15,292,18.0
2014-12-16,200,14.0
2014-12-17,284,29.0
2014-12-18,287,34.0
2014-12-19,267,11.0
2014-12-20,217,13.0
2014-12-21,310,15.0
2014-12-22,277,16.0
2014-12-23,284,21.0
2014-12-24,236,15.0
2014-12-25,291,20.0
2014-12-26,283,21.0
2014-12-27,293,15.0
2014-12-28,250,6.0
2014-12-29,317,10.0
2014-12-30,269,14.0
2014-12-31,248,14.0
2015-01-01,296,26.0
2015-01-02,281,18.0
2015-01-03,283,24.0
2015-01-04,246,9.0
2015-01-05,297,9.0
2015-01-06,224,23.0
2015-01-07,284,27.0
2015-01-08,292,16.0
2015-01-09,303,19.0
2015-01-10,287,24.0
2015-01-11,296,20.0
2015-01-12,292,24.0
2015-01-13,287,15.0
2015-01-14,261,7.0
2015-01-15,169,12.0
2015-01-16,290,17.0
2015-01-17,255,26.0
2015-01-18,285,32.0
2015-01-19,249,14.0
2015-01-20,307,20.0
2015-01-21,228,8.0
2015-01-22,140,11.0
2015-01-23,308,26.0
2015-01-24,288,11.0
2015-01-25,175,6.0
2015-01-26,192,8.0
2015-01-27,260,14.0
2015-01-28,313,18.0
2015-01-29,260,7.0
2015-01-30,167,13.0
2015-01-31,293,32.0
2015-02-01,304,30.0
2015-02-02,308,20.0
2015-02-03,307,18.0
2015-02-04,231,6.0
2015-02-05,187,6.0
2015-02-06,305,14.0
2015-02-07,222,9.0
2015-02-08,185,8.0
2015-02-09,289,27.0
2015-02-10,265,21.0
2015-02-11,219,14.0
2015-02-12,174,7.0
2015-02-13,272,25.0
2015-02-14,296,32.0
2015-02-15,301,36.0
2015-02-16,301,27.0
2015-02-17,201,8.0
2015-02-18,45,17.0
2015-02-19,225,18.0
2015-02-20,177,12.0
2015-02-21,222,8.0
2015-02-22,182,19.0
2015-02-23,269,14.0
2015-02-24,285,8.0
2015-02-25,236,6.0
2015-02-26,134,10.0
2015-02-27,286,31.0
2015-02-28,321,18.0
2015-03-01,153,19.0
2015-03-02,301,29.0
2015-03-03,198,12.0
2015-03-04,268,20.0
2015-03-05,284,29.0
2015-03-06,168,10.0
2015-03-07,113,7.0
2015-03-08,104,13.0
2015-03-09,74,12.0
2015-03-10,277,33.0
2015-03-11,250,15.0
2015-03-12,223,12.0
2015-03-13,213,13.0
2015-03-14,240,15.0
2015-03-15,251,15.0
2015-03-16,257,14.0
2015-03-17,264,14.0
2015-03-18,220,13.0
2015-03-19,250,12.0
2015-03-20,96,7.0
2015-03-21,198,9.0
2015-03-22,204,10.0
2015-03-23,287,24.0
2015-03-24,286,32.0
2015-03-25,306,23.0
2015-03-26,287,12.0
2015-03-27,262,11.0
2015-03-28,218,9.0
2015-03-29,195,8.0
2015-03-30,242,9.0
2015-03-31,194,9.0
2015-04-01,124,12.0
2015-04-02,142,14.0
2015-04-03,218,27.0
2015-04-04,181,13.0
